File Name,Relative Path,Fish Computer Path,Species,Single Fish,Comments,Segmentable,box annotated,mask annotated,train/val/test,Mask Annotator Name,Fish Computer Folder,Date Data Added,Keypoint annotated,Keypoint Annotator Name,Box Annotator Name,Duplicate,CVAT Task ID,Multifish Order
\Credit\08032023-08082023\23 08 03 11 18\2.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\08032023-08082023\23 08 03 11 18\2.mp4,/data/remora/Credit/2023/08032023-08082023/23  08  03  11  18/2.mp4,Atlantic Salmon,1,not ideal but clear enough,1,1,1,train,Bushra,Credit__2023__08032023-08082023__23  08  03  11  18__2,,,,,,,
\Credit\08082023-08112023\23 08 08 13 00\1.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\08082023-08112023\23 08 08 13 00\1.mp4,/data/remora/Credit/2023/08082023-08112023/23  08  08  13  00/1.mp4,Atlantic Salmon,1,,1,1,1,train,Bushra,Credit__2023__08082023-08112023__23  08  08  13  00__1,,,,,,,
\Credit\08162024-08192024\24  08  16  10  57\3.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Credit\08162024-08192024\24  08  16  10  57\3.mp4,/data/remora/Credit/2024/08162024-08192024/24  08  16  10  57/3.mp4,Atlantic Salmon,1,,1,1,1,train,Bushra,Credit__2024__08162024-08192024__24  08  16  10  57__3,,,,,,,
\Credit\11012024-11082024\24  11  01  12  42\266.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Credit\11012024-11082024\24  11  01  12  42\266.mp4,/data/remora/Credit/2024/11012024-11082024/24  11  01  12  42/266.mp4,Atlantic Salmon,1,,1,1,1,train,Bushra,Credit__2024__11012024-11082024__24  11  01  12  42__266,,,,,,,
\Credit\11082024-11122024\24  11  08  11  35\22.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Credit\11082024-11122024\24  11  08  11  35\22.mp4,/data/remora/Credit/2024/11082024-11122024/24  11  08  11  35/22.mp4,Atlantic Salmon,1,,1,1,1,train,Bushra,Credit__2024__11082024-11122024__24  11  08  11  35__22,,,,,,,
\Credit\17062024-05072024\24  06  17  12  42\54.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Credit\17062024-05072024\24  06  17  12  42\54.mp4,/data/remora/Credit/2024/17062024-05072024/24  06  17  12  42/54.mp4,Atlantic Salmon,1,,1,1,1,train,Bushra,Credit__2024__17062024-05072024__24  06  17  12  42__54,,,,,,,
\Ganaraska\07252023-07282023\23 07 25 13 01\10.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07252023-07282023\23 07 25 13 01\10.mp4,/data/remora/Ganaraska/Ganaraska 2023/07252023-07282023/23  07  25  13  01/10.mp4,Atlantic Salmon,1,floy tag (orange),1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07252023-07282023__23  07  25  13  01__10,,,,,,,
\Ganaraska\07252023-07282023\23 07 25 13 01\13.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07252023-07282023\23 07 25 13 01\13.mp4,/data/remora/Ganaraska/Ganaraska 2023/07252023-07282023/23  07  25  13  01/13.mp4,Atlantic Salmon,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07252023-07282023__23  07  25  13  01__13,,,,,,,
\Ganaraska\07252023-07282023\23 07 25 13 01\14.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07252023-07282023\23 07 25 13 01\14.mp4,/data/remora/Ganaraska/Ganaraska 2023/07252023-07282023/23  07  25  13  01/14.mp4,Atlantic Salmon,1,maybe label minnow too?,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07252023-07282023__23  07  25  13  01__14,,,,,,,
\Ganaraska\07252023-07282023\23 07 25 13 01\4.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07252023-07282023\23 07 25 13 01\4.mp4,/data/remora/Ganaraska/Ganaraska 2023/07252023-07282023/23  07  25  13  01/4.mp4,Atlantic Salmon,1,floy tag (orange),1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07252023-07282023__23  07  25  13  01__4,,,,,,,
\Ganaraska\07252023-07282023\23 07 25 13 01\6.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07252023-07282023\23 07 25 13 01\6.mp4,/data/remora/Ganaraska/Ganaraska 2023/07252023-07282023/23  07  25  13  01/6.mp4,Atlantic Salmon,1,floy tag (orange),1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07252023-07282023__23  07  25  13  01__6,,,,,,,
\Ganaraska\07252023-07282023\23 07 25 13 01\8.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07252023-07282023\23 07 25 13 01\8.mp4,/data/remora/Ganaraska/Ganaraska 2023/07252023-07282023/23  07  25  13  01/8.mp4,Atlantic Salmon,1,"floy tag (orange), a little blurry",1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07252023-07282023__23  07  25  13  01__8,,,,,,,
\Ganaraska\07282023-07312023\23 07 28 15 21\6.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07282023-07312023\23 07 28 15 21\6.mp4,/data/remora/Ganaraska/Ganaraska 2023/07282023-07312023/23  07  28  15  21/6.mp4,Atlantic Salmon,1,partial clip,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07282023-07312023__23  07  28  15  21__6,,,,,,,
\Ganaraska\07312023-08032023\23 07 31 11 51\32.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07312023-08032023\23 07 31 11 51\32.mp4,/data/remora/Ganaraska/Ganaraska 2023/07312023-08032023/23  07  31  11  51/32.mp4,Atlantic Salmon,1,ad clip,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07312023-08032023__23  07  31  11  51__32,,,,,,,
\Ganaraska\08082023-08112023\23 08 08 10 10\347.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\08082023-08112023\23 08 08 10 10\347.mp4,/data/remora/Ganaraska/Ganaraska 2023/08082023-08112023/23  08  08  10  10/347.mp4,Atlantic Salmon,1,ad clip,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__08082023-08112023__23  08  08  10  10__347,,,,,,,
\Ganaraska\08182023-08212023\23 08 18 13 03\20.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\08182023-08212023\23 08 18 13 03\20.mp4,/data/remora/Ganaraska/Ganaraska 2023/08182023-08212023/23  08  18  13  03/20.mp4,Atlantic Salmon,1,ad clip,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__08182023-08212023__23  08  18  13  03__20,,,,,,,
\Ganaraska\08182023-08212023\23 08 18 13 03\3.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\08182023-08212023\23 08 18 13 03\3.mp4,/data/remora/Ganaraska/Ganaraska 2023/08182023-08212023/23  08  18  13  03/3.mp4,Atlantic Salmon,1,ad clip,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__08182023-08212023__23  08  18  13  03__3,,,,,,,
\Ganaraska\08182023-08212023\23 08 18 13 03\473.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\08182023-08212023\23 08 18 13 03\473.mp4,/data/remora/Ganaraska/Ganaraska 2023/08182023-08212023/23  08  18  13  03/473.mp4,Atlantic Salmon,1,ad clip,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__08182023-08212023__23  08  18  13  03__473,,,,,,,
/Credit/2024/05072024-26072024/24 07 05 10 46/17.mp4,,/data/remora/Credit/2024/05072024-26072024/24  07  05  10  46/17.mp4,Atlantic Salmon,1,,1,1,1,,Bushra,Credit__2024__05072024-26072024__24  07  05  10  46__17,2025-06-18,,,,,,
/Credit/2024/05072024-26072024/24 07 05 10 46/18.mp4,,/data/remora/Credit/2024/05072024-26072024/24  07  05  10  46/18.mp4,Atlantic Salmon,1,,1,1,1,,Bushra,Credit__2024__05072024-26072024__24  07  05  10  46__18,2025-06-18,,,,,,
/Credit/2024/05072024-26072024/24 07 05 10 46/20.mp4,,/data/remora/Credit/2024/05072024-26072024/24  07  05  10  46/20.mp4,Atlantic Salmon,1,Lower fins blurry towards end of video,1,1,1,,Bushra,Credit__2024__05072024-26072024__24  07  05  10  46__20,2025-06-18,,,,,,
/Credit/2024/07262024-08012024/24 07 26 12 21/3.mp4,,/data/remora/Credit/2024/07262024-08012024/24  07  26  12  21/3.mp4,Atlantic Salmon,1,,1,1,1,,Bushra,Credit__2024__07262024-08012024__24  07  26  12  21__3,2025-06-18,,,,,,
/Credit/2024/07262024-08012024/24 07 26 12 21/5.mp4,,/data/remora/Credit/2024/07262024-08012024/24  07  26  12  21/5.mp4,Atlantic Salmon,1,,1,1,1,,Bushra,Credit__2024__07262024-08012024__24  07  26  12  21__5,2025-06-18,,,,,,
/Credit/2024/08122024-08162024/24 08 12 12 13/20.mp4,,/data/remora/Credit/2024/08122024-08162024/24  08  12  12  13/20.mp4,Atlantic Salmon,1,,1,1,1,,Bushra,Credit__2024__08122024-08162024__24  08  12  12  13__20,2025-06-18,,,,,,
/Credit/2024/08122024-08162024/24 08 12 12 13/22.mp4,,/data/remora/Credit/2024/08122024-08162024/24  08  12  12  13/22.mp4,Atlantic Salmon,1,,1,1,1,,Bushra,Credit__2024__08122024-08162024__24  08  12  12  13__22,2025-06-18,,,,,,
/Credit/2024/08232024-08262024/24 08 23 11 55/66.mp4,,/data/remora/Credit/2024/08232024-08262024/24  08  23  11  55/66.mp4,Atlantic Salmon,1,,1,1,1,,Bushra,Credit__2024__08232024-08262024__24  08  23  11  55__66,2025-06-18,,,,,,
/Credit/2024/17062024-05072024/24 06 17 12 42/50.mp4,,/data/remora/Credit/2024/17062024-05072024/24  06  17  12  42/50.mp4,Atlantic Salmon,1,Small fish at the beginning,1,1,1,,Bushra,Credit__2024__17062024-05072024__24  06  17  12  42__50,2025-06-18,,,,,,
\Ganaraska\06022023-06052023\23 06 02 08 28\6.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\06022023-06052023\23 06 02 08 28\6.mp4,/data/remora/Ganaraska/Ganaraska 2023/06022023-06052023/23  06  02  08  28/6.mp4,Brown Trout,0,brown with minnow,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__06022023-06052023__23  06  02  08  28__6,,,,,,,
\Credit\09152023-09182023\23 09 15 10 13\324.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\09152023-09182023\23 09 15 10 13\324.mp4,/data/remora/Credit/2023/09152023-09182023/23  09  15  10  13/324.mp4,Brown Trout,1,large male,1,1,1,train,Bushra,Credit__2023__09152023-09182023__23  09  15  10  13__324,,,,,,,
\Credit\09222023-09252023\23 09 22 12 11\123.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\09222023-09252023\23 09 22 12 11\123.mp4,/data/remora/Credit/2023/09222023-09252023/23  09  22  12  11/123.mp4,Brown Trout,1,not ideal but clear enough,1,1,1,train,Bushra,Credit__2023__09222023-09252023__23  09  22  12  11__123,,,,,,,
\Credit\09222023-09252023\23 09 22 12 11\125.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\09222023-09252023\23 09 22 12 11\125.mp4,/data/remora/Credit/2023/09222023-09252023/23  09  22  12  11/125.mp4,Brown Trout,1,maybe trim video since low contrast at beginning,1,1,1,train,Bushra,Credit__2023__09222023-09252023__23  09  22  12  11__125,,,,,,,
\Credit\09222023-09252023\23 09 22 12 11\126.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\09222023-09252023\23 09 22 12 11\126.mp4,/data/remora/Credit/2023/09222023-09252023/23  09  22  12  11/126.mp4,Brown Trout,1,,1,1,1,train,Bushra,Credit__2023__09222023-09252023__23  09  22  12  11__126,,,,,,,
\Credit\09222023-09252023\23 09 22 12 11\182.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\09222023-09252023\23 09 22 12 11\182.mp4,/data/remora/Credit/2023/09222023-09252023/23  09  22  12  11/182.mp4,Brown Trout,1,,1,1,1,train,Bushra,Credit__2023__09222023-09252023__23  09  22  12  11__182,,,,,,,
\Credit\09252034-09292023\23 09 25 13 21\49.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\09252034-09292023\23 09 25 13 21\49.mp4,/data/remora/Credit/2023/09252034-09292023/23  09  25  13  21/49.mp4,Brown Trout,1,,1,1,1,train,Bushra,Credit__2023__09252034-09292023__23  09  25  13  21__49,,,,,,,
\Credit\09292023-10032023\23 09 29 11 42\420.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Credit\09292023-10032023\23 09 29 11 42\420.mp4,/data/remora/Credit/2023/09292023-10032023/23  09  29  11  42/420.mp4,Brown Trout,1,,1,1,1,train,Bushra,Credit__2023__09292023-10032023__23  09  29  11  42__420,,,,,,,
\Credit\17062024-05072024\24  06  17  12  42\8.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Credit\17062024-05072024\24  06  17  12  42\8.mp4,/data/remora/Credit/2024/17062024-05072024/24  06  17  12  42/8.mp4,Brown Trout,1,,1,1,1,train,Bushra,Credit__2024__17062024-05072024__24  06  17  12  42__8,,,,,,,
\Ganaraska\04242023-04272023\23 04 24 09 28\70.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\04242023-04272023\23 04 24 09 28\70.mp4,/data/remora/Ganaraska/Ganaraska 2023/04242023-04272023/23  04  24  09  28/70.mp4,Brown Trout,1,juv,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__04242023-04272023__23  04  24  09  28__70,,,,,,,
\Ganaraska\06022023-06052023\23 06 02 08 28\12.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\06022023-06052023\23 06 02 08 28\12.mp4,/data/remora/Ganaraska/Ganaraska 2023/06022023-06052023/23  06  02  08  28/12.mp4,Brown Trout,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__06022023-06052023__23  06  02  08  28__12,,,,,,,
\Ganaraska\06192023-06262023\23 06 19 10 55\28.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\06192023-06262023\23 06 19 10 55\28.mp4,/data/remora/Ganaraska/Ganaraska 2023/06192023-06262023/23  06  19  10  55/28.mp4,Brown Trout,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__06192023-06262023__23  06  19  10  55__28,,,,,,,
\Ganaraska\06192023-06262023\23 06 19 10 55\31.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\06192023-06262023\23 06 19 10 55\31.mp4,/data/remora/Ganaraska/Ganaraska 2023/06192023-06262023/23  06  19  10  55/31.mp4,Brown Trout,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__06192023-06262023__23  06  19  10  55__31,,,,,,,
\Ganaraska\07172023-07212023\23 07 17 14 07\7.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\07172023-07212023\23 07 17 14 07\7.mp4,/data/remora/Ganaraska/Ganaraska 2023/07172023-07212023/23  07  17  14  07/7.mp4,Brown Trout,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__07172023-07212023__23  07  17  14  07__7,,,,,,,
\Ganaraska\08282023-08312023\23 08 28 14 36\11.mp4,C:\Users\YUILLEMI\OneDrive - Government of Ontario\Desktop\Ganaraska\08282023-08312023\23 08 28 14 36\11.mp4,/data/remora/Ganaraska/Ganaraska 2023/08282023-08312023/23  08  28  14  36/11.mp4,Brown Trout,1,great video,1,1,1,train,Bushra,Ganaraska__Ganaraska 2023__08282023-08312023__23  08  28  14  36__11,,,,,,,
\Ganaraska\08012024-08082024\24  08  01  08  53\97.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Ganaraska\08012024-08082024\24  08  01  08  53\97.mp4,/data/remora/Ganaraska/Ganaraska 2024/08012024-08082024/24  08  01  08  53/97.mp4,Brown Trout,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2024__08012024-08082024__24  08  01  08  53__97,,,,,,,
\Ganaraska\08162024-08202024\24  08  16  13  29\165.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Ganaraska\08162024-08202024\24  08  16  13  29\165.mp4,/data/remora/Ganaraska/Ganaraska 2024/08162024-08202024/24  08  16  13  29/165.mp4,Brown Trout,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2024__08162024-08202024__24  08  16  13  29__165,,,,,,,
\Ganaraska\08232024-08262024\24  08  23  14  31\17.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Ganaraska\08232024-08262024\24  08  23  14  31\17.mp4,/data/remora/Ganaraska/Ganaraska 2024/08232024-08262024/24  08  23  14  31/17.mp4,Brown Trout,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2024__08232024-08262024__24  08  23  14  31__17,,,,,,,
\Ganaraska\09032024-09092024\24  09  03  09  08\1289.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Ganaraska\09032024-09092024\24  09  03  09  08\1289.mp4,/data/remora/Ganaraska/Ganaraska 2024/09032024-09092024/24  09  03  09  08/1289.mp4,Brown Trout,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2024__09032024-09092024__24  09  03  09  08__1289,,,,,,,
\Ganaraska\09162024-09232024\24  09  16  16  14\2374.mp4,C:\Users\GristeTh\OneDrive - Government of Ontario\Documents\RiverWatcher\Ganaraska\09162024-09232024\24  09  16  16  14\2374.mp4,/data/remora/Ganaraska/Ganaraska 2024/09162024-09232024/24  09  16  16  14/2374.mp4,Brown Trout,1,,1,1,1,train,Bushra,Ganaraska__Ganaraska 2024__09162024-09232024__24  09  16  16  14__2374,,,,,,,
/Credit/2024/08122024-08162024/24 08 12 12 13/14.mp4,,/data/remora/Credit/2024/08122024-08162024/24  08  12  12  13/14.mp4,Brown Trout,1,"good bt video, grainy but good enough",1,1,1,,Bushra,Credit__2024__08122024-08162024__24  08  12  12  13__14,2025-06-18,,,,,,
/Credit/2024/08232024-08262024/24 08 23 11 55/28.mp4,,/data/remora/Credit/2024/08232024-08262024/24  08  23  11  55/28.mp4,Brown Trout,1,good brown trout vid,1,1,1,,Bushra,Credit__2024__08232024-08262024__24  08  23  11  55__28,2025-06-18,,,,,,
/Credit/2024/17062024-05072024/24 06 17 12 42/22.mp4,,/data/remora/Credit/2024/17062024-05072024/24  06  17  12  42/22.mp4,Brown Trout,1,,1,1,1,,Bushra,Credit__2024__17062024-05072024__24  06  17  12  42__22,2025-06-18,,,,,,
/Credit/2024/17062024-05072024/24 06 17 12 42/6.mp4,,/data/remora/Credit/2024/17062024-05072024/24  06  17  12  42/6.mp4,Brown Trout,1,,1,1,1,,Bushra,Credit__2024__17062024-05072024__24  06  17  12  42__6,2025-06-18,,,,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/74.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/74.mp4,Brown Trout,1,good brown trout vid,1,1,1,,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__74,2025-06-19,,,,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/76.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/76.mp4,Brown Trout,1,,1,1,1,,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__76,2025-06-19,,,,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/78.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/78.mp4,Brown Trout,1,good vid,1,1,1,,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__78,2025-06-19,,,,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/79.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/79.mp4,Brown Trout,1,good vid,1,1,1,,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__79,2025-06-19,,,,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/80.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/80.mp4,Brown Trout,1,,1,1,1,,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__80,2025-06-19,,,,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/81.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/81.mp4,Brown Trout,1,,1,1,1,,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__81,2025-06-19,,,,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/82.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/82.mp4,Brown Trout,1,,1,1,1,,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__82,2025-06-19,,,,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/83.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/83.mp4,Brown Trout,1,,1,1,1,,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__83,2025-06-19,,,,,,
/Ganaraska/Ganaraska 2024/11222024-11282024/24 11 22 14 07/84.mp4,,/data/remora/Ganaraska/Ganaraska 2024/11222024-11282024/24  11  22  14  07/84.mp4,Brown Trout,1,good vid,1,1,1,,Bushra,Ganaraska__Ganaraska 2024__11222024-11282024__24  11  22  14  07__84,2025-06-19,,,,,,
